Lname,Fname,Freq,Times,Rank,Regiment
TAYLOR,ROBERT BERTRAM,0.0,0,Lieutenant,
TEMPLE,ANTHONY,0.0,0,Captain,
THORNE,STEPHEN OSBORNE,0.0,0,Lieutenant,
UNDERHILL,CHARLES BERTRAM,0.0,0,Lieutenant,
WALKER,THOMAS CAMPBELL,0.0,0,Second Lieutenant,
WHITEMAN,HARRY A,0.0,0,Honourary Captain,
WHITESIDE,ALEXANDER FORRESTER,0.0,0,Captain,
WINSER,ARTHUR CECIL,0.0,0,Lieutenant,
WOODS,THOMAS ZACHARY,0.0,0,Captain,
YATES,HENRY BRYDGES,0.0,0,Lieutenant Colonel,
ADAMS,CHARLES CECIL OGDEN MACFEE,0.0,0,Lieutenant,
ADAMS,HUGH IRVING,0.0,0,Lieutenant,
ADAMSON,MAURICE LESLIE,0.0,0,Second Lieutenant,
ADIE,HARRY MORTON ELLIS,0.0,0,Lieutenant,
AITCHISON,ALEXANDER WILLIAM,0.0,0,Lieutenant,
AITKEN,ROBERT JAMES,0.0,0,Captain,
ALLAN,EDWARD BLAKE,0.0,0,Lieutenant,
ANDERSON,ARCHIBALD JOSEPH,0.0,0,Captain,
ANDERSON,DAVID STEWART,0.0,0,Lieutenant,
ANDERSON,GOLDIE FRASER,0.0,0,Captain,
AUDY,PROSPER JOHN THEODORE LONG,0.0,0,Lieutenant,
BAINES,EGERTON BANCKS,0.0,0,Lieutenant,
BAKER,ARTHUR WILLIAM,0.0,0,Second Lieutenant,
BAKER,GEORGE HAROLD,0.0,0,Lieutenant Colonel,
BALLACHEY,PANAYOTY PERCY,0.0,0,Major,
BARLOW,LOVEL HARDWICK,0.0,0,Second Lieutenant,
BARNARD,LEWIS HAROLD,0.0,0,Lieutenant,
BARNES,WILLIAM SIBSON,0.0,0,Lieutenant,
BARNETT,LASCELLES DE BARRY,0.0,0,Captain,
BARTLE,DEANE STANLEY,0.0,0,Lieutenant,
BARTRAM,ALAN,0.0,0,Second Lieutenant,
BATEMAN,CHARLES ARTHUR,0.0,0,Lieutenant,
BATEMAN,GEORGE SIMPSON,0.0,0,Lieutenant,
BEATSON,ROGER STEWART MONTRESOR,0.0,0,Lieutenant,
BEAUBIEN,LOUIS ANTONIO,0.0,0,Lieutenant,
BELL,SYDNEY WILLIAM,0.0,0,Lieutenant,
BELT,JAMES EDWIN DEVEY,0.0,0,Lieutenant,
BENSON,FREDERICK WILLIAM,0.0,0,Major General,
BENSON,WILLIAM ROY GWYN,0.0,0,Second Lieutenant,
BERKINSHAW,EDWIN LYLE,0.0,0,Captain,
BIRD,FRANCIS WILLIAM,0.0,0,Lieutenant,
BLACKADER,GORDON HOME,0.0,0,Captain,
BLAKE,JERRALD EDWARD,0.0,0,Captain,
BORTHWICK,DAVID SCOTT,0.0,0,Lieutenant,
BOSTOCK,ALEXANDER HEWITT,0.0,0,Lieutenant,
BOTTERELL,EDWARD SIMPSON,0.0,0,Captain,
BOURNE,HERBERT HALLOWELL,0.0,0,Lieutenant,
