Lname,Fname,Freq,Times
ALKEMA,null,1.608762E-6,1,null
ALKENBRACK,null,3.217524E-6,2,null
ALKER,null,6.435048E-6,4,null
ALKERTON,null,3.217524E-6,2,null
ALKIN,null,1.608762E-6,1,null
ALKINS,null,8.043809E-6,5,null
ALLABACH,null,1.608762E-6,1,null
ALLABUSH,null,1.608762E-6,1,null
ALLABY,null,1.4478857E-5,9,null
ALLAIN,null,5.952419E-5,37,null
ALLAIR,null,3.217524E-6,2,null
ALLAIRE,null,7.078553E-5,44,null
ALLAM,null,1.4478857E-5,9,null
ALLAMBY,null,1.608762E-6,1,null
ALLAN,null,7.3359546E-4,456,null
ALLANACH,null,1.608762E-6,1,null
ALLANDALE,null,1.608762E-6,1,null
ALLANSON,null,9.652572E-6,6,null
ALLAR,null,1.608762E-6,1,null
ALLARD,null,2.445318E-4,152,null
ALLARDICE,null,1.2870096E-5,8,null
ALLARDYCE,null,1.9305144E-5,12,null
ALLARIE,null,8.043809E-6,5,null
ALLARY,null,1.1261333E-5,7,null
ALLASIA,null,1.608762E-6,1,null
ALLASON,null,1.608762E-6,1,null
ALLASTER,null,1.608762E-6,1,null
ALLASTON,null,1.608762E-6,1,null
ALLATT,null,1.608762E-6,1,null
ALLAWAY,null,4.826286E-6,3,null
ALLBERRY,null,1.608762E-6,1,null
ALLBON,null,3.217524E-6,2,null
ALLBRIGHT,null,1.9305144E-5,12,null
ALLBUT,null,1.608762E-6,1,null
ALLBUTT,null,3.217524E-6,2,null
ALLCHIN,null,1.608762E-6,1,null
ALLCHURCH,null,4.826286E-6,3,null
ALLCOCK,null,1.9305144E-5,12,null
ALLCORN,null,1.1261333E-5,7,null
ALLCOTT,null,1.608762E-6,1,null
ALLCROFT,null,6.435048E-6,4,null
ALLDAY,null,1.608762E-6,1,null
ALLDEN,null,1.608762E-6,1,null
ALLDER,null,1.608762E-6,1,null
ALLDIS,null,4.826286E-6,3,null
ALLDREAD,null,3.217524E-6,2,null
ALLDRED,null,9.652572E-6,6,null
ALLDREDGE,null,1.608762E-6,1,null
ALLDRICK,null,1.608762E-6,1,null
ALLDRIDGE,null,1.608762E-6,1,null
ALLDRITT,null,3.217524E-6,2,null
ALLEGRET,null,1.608762E-6,1,null
ALLELY,null,3.217524E-6,2,null
ALLEMANG,null,4.826286E-6,3,null
ALLEMENT,null,4.826286E-6,3,null
ALLEMS,null,3.217524E-6,2,null
ALLEN,null,0.0016168058,1005,null
ALLENBACH,null,1.608762E-6,1,null
ALLENBACK,null,1.608762E-6,1,null
ALLENBAUGH,null,1.608762E-6,1,null
ALLENBY,null,1.4478857E-5,9,null
ALLENDER,null,4.826286E-6,3,null
ALLENGAME,null,1.608762E-6,1,null
ALLENSEN,null,3.217524E-6,2,null
ALLENSON,null,1.608762E-6,1,null
