LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
AYLWARD,JOHN JOSEPH,ALYWARD,JOSEPH JOHN,713200,713200,Private,0
BEAUREGEARD,PHILIAS,BEAUREGARD,PHILIAS,455677,455677,Private,0
BEGG,JAMES,BEGGS,JAMES,199066,199066,Private,0
BEYER,FRANK,BEYEA,FRANK,69091,69091,Private,0
BJARNASON,BARNEY,BJARNSON,BARNEY,186022,186022,Private,0
BRAZEAU,ELIE,BRAZANO,ELIE,201125,201125,Private,0
BRECKELL,ROBERT JAMES,BRECKNELL,ROBERT JAMES,74106,74106,Lance Corporal,0
BROWN,WILFRED EWART,BROWNE,WILFRED EWART,453604,453604,Private,0
BURNES,WILLIAM ALBERT,BURNS,WILLIAM,454219,454219,Corporal,0
CANDIBLE,THOMAS,CALLAHAN,THOMAS,59130,59130,Private,0
CARMEN,CHARLES,CARMAN,CHARLES,477153,477153,Private,0
CAVALLERO,EMILIO,CAVALIERO,EMILIO,442558,442558,Private,0
CAYLEY,LEONARD,CAYLAY,LEONARD,447316,447316,Sapper,0
CHARNLEY,JOHN WILLIAM,CHARNELY,JOHN WILLIAM,445278,445278,Private,0
CLARK,GEORGE WILLIAM,CLARKE,GEORGE WILLIAM,739356,739356,Private,0
COCKRANE,HENRY,COCHRANE,HENRY,437739,437739,Private,0
CROSSMAN,THOMAS CHARLES,CROSSMAAN,THOMAS CHARLES,33032,33032,Private,0
CUMING,WILLIAM,CUMMING,WILLIAM,466575,466575,Private,0
CUMMINS,GEORGE,CUMMINGS,GEORGE,187033,187033,Private,0
D'ALMAINE,ROY,DALMAINE,ROY,401732,401732,Private,0
D'AMOUR,PATRICK,DAMOUR,PATRICK,73442,73442,Private,0
DAHLBERG,OLE,DAHLBERY,OLAF,700092,700092,Private,0
DANJAUE,JOSEPH,DANJEAU,JOSEPH,417141,417141,Private,0
DE BEAUJOUR,GEORGE,DEBEAUJOUR,GEORGE,121578,121578,Private,0
DE FRIEZ,FORBES ELLIOTT,DEFFRIEZ,FORBES ELLIOTT,42475,42475,Bombardier,0
DE LA GORGENDIERE,REGIS FRANCIS FLEURY,DELAGORGENDIERE,REGIS F H,13727,13727,Private,0
DE LA HAYE,WILFRED,DELANEY,WILFRED,105721,105721,Private,0
DE LISLE,ALFRED WALTER,DELISLE,ALFRED WALTER,703999,703999,Private,0
DE WOLFE,CLYDE ABNER,DEWOLFE,CLYDE ABNER,469846,469846,Private,0
DE WOLFE,ROSCOE DELBERT,DEWOLFE,ROSCOE D,145438,145438,Private,0
DE YOUNG,GORDON,DEYOUNG,GORDEN,414818,414818,Private,0
DELBROUCK,GASTON,DELBROUCH,GASTON,150876,150876,Private,0
DESCHENES,ALPHONSO,DESCHESNE,ALPHONSE,61566,61566,Private,0
DESILET,AMEDEE,DESILETS,AMEDE,416867,416867,Private,0
DESLAURIERS,JOSEPH,DELAURIER,JOSEPH,144306,144306,Private,0
DONOHUE,JAMES,DONAHUE,JAMES,69231,69231,Private,0
DYLE,JOHN,DYLER,JOHN,81235,81235,Private,0
DZHOBIEWSKI,MICHAEL,DZHEBEROSKI,MICHAEL,417951,417951,Private,0
EGGERTSSON,INGVAR,EDGARSON,I,426244,426244,Private,0
EGGO,JOHN OGILVIE,EGO,JOHN OGILVIE,153788,153788,Private,0
EYKELBOSH,FRANCIS WILLIAM,EGKELBOSCH,FRANCIS WILLIAM,434714,434714,Private,0
FREDERICK,CHARLES,FREDRICK,CHARLES,183305,183305,Private,0
FREROT,FERNAND,FRIROT,FERNAND,23655,23655,Private,0
FULLSHER,EDWIN WILLIAM,FULSHER,EDWIN WILLIAM,124420,124420,Private,0
GANZUR,DANIEL,GANDZUR,DANIEL,417833,417833,Private,0
GARELINKO,ALEX,GARELENKO,ALEX,704123,704123,Private,0
GERVIN,WALTER,GIRVIN,WALTER,113017,113017,Private,0
GIGANT,PHILIAS,GIGAULT,PHILIAS,448883,448883,Private,0
GILLESPLE,DAVID BRYCE,GILLESPIE,DAVID BRYCE,442909,442909,Sergeant,0
GRAVENEY,WILLIAM KILLEEN,GRAVENY,WILLIAM K,75004,75004,Sergeant,0
GREGALAITIS,CONSTANTINE,GREGALAIT,CONSTANTIN,447757,447757,Private,0
GUNNE,ARTHUR JOHN,GUNN,ARTHUR JOHN,124744,124744,Private,0
HACHEY,ANTHONY,HOBIC,ANTONIO,129,129,Private,0
